6	6	6	6	6	6	6	6	6	0	0	0	6	6	6	6	6
6	6	6	6	6	6	6	6	6	0	0	0	6	6	6	6	6
6	6	6	6	6	6	6	6	6	0	0	0	6	6	6	6	6
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1
0	0	0	0	0	1	1	1	0	0	0	0	6	0	0	1	1
0	6	6	0	0	0	0	0	0	0	6	6	6	0	0	0	1
0	6	6	6	0	0	0	0	6	6	6	6	6	0	0	0	1
0	6	6	6	6	6	6	6	6	6	6	6	6	0	0	1	1
0	0	6	6	6	6	6	6	6	6	6	6	6	0	0	1	1
1	0	6	6	6	6	6	6	6	6	6	6	0	0	1	1	1
1	0	0	0	6	6	6	6	6	6	6	0	0	1	1	1	1
1	1	0	0	0	0	6	6	6	0	0	0	1	1	1	1	1
1	1	1	0	0	0	6	6	6	0	0	1	1	1	1	1	1
1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1
1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	4	4	2	2	5	5	4	4	4	4	4	4	4	4	4	4
4	4	4	2	2	5	5	4	4	4	4	4	4	4	4	4	4
4	4	4	2	2	5	5	4	4	4	4	4	4	4	4	4	4
4	4	4	2	2	5	5	4	4	5	5	4	4	4	4	4	4
4	4	4	2	2	5	5	5	4	5	5	5	5	4	4	4	4
4	4	2	2	2	2	5	5	5	5	5	5	5	5	4	4	4
4	4	2	2	2	2	2	5	5	2	2	5	5	5	5	4	4
4	4	2	2	2	2	2	2	5	2	2	2	5	5	5	4	4
4	4	2	2	2	4	2	2	2	2	2	2	2	5	5	4	4
4	4	4	2	2	5	5	2	2	2	2	2	2	2	5	4	4
4	4	4	2	2	5	5	5	2	2	2	2	2	5	5	4	4
4	4	4	2	2	5	5	5	5	2	2	2	5	5	5	4	4
4	4	4	2	2	2	5	5	5	2	2	2	5	5	5	4	4
4	4	4	2	2	2	5	5	5	5	5	5	5	4	4	4	4
4	4	4	2	2	5	5	5	5	5	5	5	4	4	4	1	1
4	4	4	2	2	2	5	5	4	5	5	4	4	4	4	1	1
4	4	4	4	2	2	5	5	4	4	4	4	4	4	1	1	1
4	4	4	4	4	2	5	4	4	4	4	4	4	1	1	0	0
4	4	4	4	4	4	4	4	4	4	4	1	1	1	0	0	0
4	4	4	4	4	4	4	4	4	1	1	1	1	0	0	0	1
1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	3
1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	3	3
3	3	3	3	3	3	3	3	3	3	3	1	1	1	3	3	3
3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3
3	3	3	3	3	3	3	3	3	2	3	3	3	0	3	3	3
3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
